,Home Type,Year Built,Address,Bedrooms,Bathrooms,Square Feet,Price
0,single_family,1989.0,10155 SW 155th Ave,5,3.0,9148.0,997000
1,single_family,1920.0,23705 SW Rosedale Rd,3,1.0,1508918.0,8700000
2,single_family,2004.0,14480 NW Pioneer Park Way,3,3.0,5227.0,706000
3,single_family,1995.0,20252 SW Tremont Way,4,4.0,13068.0,1140000
4,townhomes,1999.0,14245 SW Cougar Ridge Dr,2,3.0,1307.0,340000
5,single_family,2003.0,20706 SW Marimar St,3,3.0,2178.0,475000
6,single_family,1981.0,7265 SW 173rd Ave,3,2.0,7405.0,520000
7,townhomes,2013.0,11915 SW Horizon Blvd,2,3.0,1307.0,475000
8,single_family,2001.0,4068 NW Kino Springs Pl,4,3.0,4792.0,775000
9,condos,1998.0,10660 SW Davies Rd Unit 41,2,2.0,,275000
10,single_family,1960.0,12635 SW Butner Rd,3,1.0,7405.0,395000
11,townhomes,1977.0,6732 SW Sussex St,2,2.0,1307.0,300000
12,single_family,1956.0,13470 SW Far Vista Dr,3,2.0,68389.0,525000
13,single_family,2007.0,7085 SW Kelsi Ter,4,4.0,5227.0,885000
14,single_family,2002.0,17469 SW Arbutus Dr,5,5.0,17424.0,1349000
15,single_family,1978.0,17585 NW Autumn Ridge Dr,3,2.0,7405.0,600000
16,single_family,1963.0,13550 SW 22nd St,3,2.0,6970.0,575000
17,single_family,1996.0,16918 SW Steele Way,3,3.0,2178.0,429000
18,single_family,2020.0,9537 SW 171st Ave,5,4.0,4356.0,790000
19,single_family,1952.0,965 SW Murray Blvd,3,2.0,26136.0,600000
20,single_family,2021.0,18421 SW Sugarloaf Ln,4,3.0,3920.0,680000
21,single_family,2017.0,15910 SW Nora Rd,5,5.0,54886.0,1650000
22,single_family,1998.0,19072 SW Christopher Dr,3,3.0,3920.0,499000
23,single_family,1956.0,5545 SW Dover Ln,3,2.0,10019.0,719000
24,single_family,1978.0,16385 SW Wright St,3,2.0,7841.0,590000
25,condos,1974.0,1605 NW Bridgeway Ln,3,3.0,,365000
26,single_family,1988.0,16680 NW Meadow Grass Ct,3,2.0,6098.0,590000
27,single_family,1991.0,1422 SW 178th Ave,3,2.0,5227.0,525000
28,single_family,1972.0,3885 SW 196th Ave,3,1.0,7841.0,500000
