,Agent,Home Type,Year Built,Address,Bedrooms,Bathrooms,Square Feet,Price,Sold Date,Sold Price
0,,single_family,2022.0,8273 NE Kinnaman,3.0,3.0,,549990.0,,
1,,single_family,1975.0,9070 SW Parkview Loop,4.0,2.0,8712.0,600000.0,,
2,,single_family,1940.0,35 NW 173rd Ave,5.0,2.0,19166.0,569500.0,1983-01-01,65500.0
3,,townhomes,1977.0,6664 SW Sussex St,2.0,2.0,1307.0,327000.0,2015-03-13,133825.0
4,,single_family,1996.0,7941 SW Leland Dr,3.0,3.0,7841.0,689000.0,2002-08-09,299450.0
5,,condos,2005.0,1010 SW 170th Ave Unit 200,3.0,3.0,,390000.0,,
6,,single_family,1954.0,8125 SW Canyon Rd,4.0,3.0,30928.0,995000.0,,
7,,single_family,1960.0,14480 SW Jenkins Rd,0.0,3.0,30056.0,5000000.0,,
8,,single_family,1975.0,8915 SW Sheridan Ct,3.0,2.0,10890.0,614900.0,2002-09-27,184900.0
9,,single_family,1950.0,16190 SW Hart Rd,4.0,2.0,10890.0,489000.0,2020-07-15,435000.0
10,,single_family,1961.0,17760 SW Alexander St,2.0,1.0,6534.0,375000.0,2016-03-15,199000.0
11,,single_family,1982.0,6168 SW 162nd Pl,4.0,3.0,9148.0,735000.0,2005-05-16,213000.0
12,,single_family,1999.0,7615 SW Gearhart Dr,3.0,3.0,4792.0,625000.0,2016-09-30,357000.0
13,,single_family,2018.0,16849 SW Friendly Ln,4.0,3.0,2614.0,679900.0,2021-03-10,588000.0
14,,single_family,1980.0,7875 SW Carol Glen Pl,4.0,3.0,7841.0,659500.0,2017-12-15,435000.0
15,,single_family,2022.0,SW Silvertip St,4.0,4.0,,914000.0,,
16,,single_family,2005.0,2533 NW Rogue Valley Ter,3.0,3.0,1742.0,435000.0,2006-02-22,226900.0
17,,single_family,2001.0,15677 SW Black Quartz St,3.0,2.0,1307.0,435000.0,2022-05-24,420800.0
18,,single_family,1985.0,17695 SW Washington Dr,3.0,2.0,7405.0,581000.0,2022-04-29,525400.0
19,,single_family,2005.0,15465 SW Cobalt Ln,2.0,3.0,1307.0,450000.0,2022-06-01,444600.0
20,,single_family,1989.0,10155 SW 155th Ave,5.0,3.0,9148.0,997000.0,2002-09-30,362500.0
21,,single_family,1920.0,23705 SW Rosedale Rd,3.0,1.0,1508918.0,8700000.0,2020-08-27,86000.0
22,,single_family,2004.0,14480 NW Pioneer Park Way,3.0,3.0,5227.0,706000.0,2005-02-14,276370.0
23,,single_family,1995.0,20252 SW Tremont Way,4.0,4.0,13068.0,1140000.0,2015-05-22,628000.0
24,,townhomes,1999.0,14245 SW Cougar Ridge Dr,2.0,3.0,1307.0,340000.0,2002-05-09,143500.0
25,,single_family,2003.0,20706 SW Marimar St,3.0,3.0,2178.0,475000.0,2018-12-11,325000.0
26,,single_family,1981.0,7265 SW 173rd Ave,3.0,2.0,7405.0,520000.0,1986-08-01,55200.0
27,,townhomes,2013.0,11915 SW Horizon Blvd,2.0,3.0,1307.0,475000.0,2013-07-03,223995.0
28,,single_family,2001.0,4068 NW Kino Springs Pl,4.0,3.0,4792.0,775000.0,2015-06-26,439000.0
29,,condos,1998.0,10660 SW Davies Rd Unit 41,2.0,2.0,,275000.0,2012-06-14,74000.0
30,,single_family,1960.0,12635 SW Butner Rd,3.0,1.0,7405.0,395000.0,1995-11-30,104000.0
31,,townhomes,1977.0,6732 SW Sussex St,2.0,2.0,1307.0,300000.0,1998-06-03,115000.0
32,,single_family,1956.0,13470 SW Far Vista Dr,3.0,2.0,68389.0,525000.0,,
33,,single_family,2007.0,7085 SW Kelsi Ter,4.0,4.0,5227.0,885000.0,2008-03-12,670000.0
34,,single_family,2002.0,17469 SW Arbutus Dr,5.0,5.0,17424.0,1349000.0,2002-09-27,640000.0
35,,single_family,1978.0,17585 NW Autumn Ridge Dr,3.0,2.0,7405.0,600000.0,1978-07-01,54500.0
36,,single_family,1963.0,13550 SW 22nd St,3.0,2.0,6970.0,575000.0,1979-12-01,58000.0
37,,single_family,1996.0,16918 SW Steele Way,3.0,3.0,2178.0,429000.0,1996-07-25,120000.0
38,,single_family,2020.0,9537 SW 171st Ave,5.0,4.0,4356.0,790000.0,2020-08-07,545000.0
39,,single_family,1952.0,965 SW Murray Blvd,3.0,2.0,26136.0,600000.0,1980-10-01,67500.0
40,,single_family,2021.0,18421 SW Sugarloaf Ln,4.0,3.0,3920.0,680000.0,,
41,,single_family,2017.0,15910 SW Nora Rd,5.0,5.0,54886.0,1650000.0,2006-07-21,385000.0
42,,single_family,1998.0,19072 SW Christopher Dr,3.0,3.0,3920.0,499000.0,2016-09-09,265000.0
43,,single_family,1956.0,5545 SW Dover Ln,3.0,2.0,10019.0,719000.0,2013-12-20,339000.0
44,,single_family,1978.0,16385 SW Wright St,3.0,2.0,7841.0,590000.0,2022-06-06,560700.0
45,,condos,1974.0,1605 NW Bridgeway Ln,3.0,3.0,,365000.0,2022-06-02,343900.0
