,Home Type,Year Built,Address,Bedrooms,Bathrooms,Square Feet,Price
0,single_family,2017.0,3641 Flowering Vine Way,3.0,2.0,2178.0,300000.0
1,single_family,1825.0,1041 Venice Rd,4.0,3.0,18295.0,429000.0
2,single_family,1945.0,4043 Taliluna Ave,2.0,2.0,8712.0,464000.0
3,single_family,1966.0,8615 Curtis Rd,3.0,3.0,43560.0,299900.0
4,single_family,2000.0,9928 Giverny Cir,4.0,4.0,7841.0,710000.0
5,single_family,1960.0,4413 Deerfield Rd,4.0,2.0,17860.0,340000.0
6,single_family,2007.0,12120 Inglecrest Ln,4.0,4.0,11761.0,1000000.0
7,single_family,2022.0,7700 Lake Mountain Ln,4.0,3.0,436.0,480000.0
8,single_family,1955.0,3200 Sanderson Rd,4.0,3.0,16117.0,349900.0
9,single_family,1955.0,5024 Cain Rd,3.0,3.0,49223.0,249900.0
10,single_family,1970.0,1424 Mount Vista Dr,3.0,2.0,15682.0,310000.0
11,single_family,2000.0,9100 Hailes Abbey Ln,6.0,5.0,22216.0,974900.0
12,single_family,1997.0,4806 Katia Ln,3.0,2.0,10019.0,265000.0
13,single_family,1996.0,8131 Florence Gardens Rd,3.0,2.0,8276.0,299900.0
14,single_family,1930.0,3800 Glenfield Dr,4.0,4.0,24394.0,1275000.0
15,single_family,1967.0,6329 Netherland Dr,3.0,2.0,19166.0,299900.0
16,single_family,1975.0,10628 Sandpiper Ln,4.0,4.0,43560.0,585000.0
17,single_family,1940.0,6631 Greer Rd,3.0,2.0,29185.0,259000.0
18,single_family,2002.0,2546 Fernbank Rd,4.0,3.0,7841.0,329000.0
19,single_family,1976.0,12205 Hatmaker Ln,6.0,4.0,1045440.0,4500000.0
20,condos,1974.0,2755 Jersey Ave Apt A401,1.0,1.0,,125000.0
21,townhomes,1984.0,8600 Olde Colony Trl Apt 104,3.0,3.0,2977.0,315000.0
22,single_family,1975.0,7117 Brickey Ln,3.0,3.0,23087.0,434900.0
23,single_family,1995.0,10044 Greylock Way,3.0,2.0,436.0,325000.0
24,condos,2012.0,6831 Evan Spencer Way,2.0,2.0,,280000.0
25,single_family,2010.0,6219 Maples Mountain Way,3.0,2.0,43560.0,349900.0
26,single_family,1973.0,1444 Mount Vista Dr,3.0,3.0,28750.0,324900.0
27,single_family,1930.0,2802 Nichols Ave,3.0,1.0,4792.0,230000.0
28,multi_family,1945.0,2401 Fine Ave,,,6250.0,100000.0
29,land,,1715 Serene Cove Way,,0.0,20038.0,65000.0
30,single_family,2016.0,7401 Lucky Clover Ln,3.0,3.0,5227.0,349900.0
31,single_family,1964.0,2004 Island Home Ave,3.0,2.0,13504.0,175000.0
32,single_family,1999.0,10617 Lone Star Way,3.0,2.0,6534.0,314900.0
33,single_family,1950.0,613 Kimberlin Heights Rd,3.0,2.0,104544.0,435000.0
34,land,,1851 Natchez Ave,,0.0,14375.0,25000.0
35,condos,2008.0,445 W Blount Ave Apt 311,2.0,2.0,,579000.0
36,single_family,2003.0,2929 Titanium Ln,3.0,2.0,436.0,315000.0
37,single_family,1956.0,1341 Lee Ln,3.0,2.0,14810.0,349900.0
38,land,,Concord Rd,,0.0,348480.0,4400000.0
39,single_family,2009.0,12341 Conner Springs Ln,4.0,4.0,13939.0,699900.0
40,single_family,1935.0,4322 Candora Ave,1.0,1.0,436.0,150000.0
41,single_family,1940.0,1512 Robert Huff Rd,2.0,1.0,7841.0,50000.0
42,single_family,1999.0,11005 Walnut Creek Ln,3.0,3.0,1307.0,419000.0
43,single_family,2022.0,915 Belle Pond Ave,5.0,3.0,5663.0,555000.0
44,single_family,2013.0,6123 Park Shadow Way,3.0,2.0,436.0,310000.0
45,single_family,1963.0,5431 Yosemite Trl,5.0,3.0,16117.0,449900.0
46,single_family,2002.0,10818 Dundee Rd,3.0,2.0,15246.0,389900.0
47,single_family,1974.0,9707 Middlebrook Pike,3.0,2.0,320602.0,629900.0
48,single_family,1899.0,506 E Oak Hill Ave,3.0,2.0,6970.0,360000.0
49,single_family,1991.0,6816 Grassey Creek Way,3.0,3.0,43560.0,399999.0
50,single_family,2022.0,911 Belle Pond Ave,4.0,3.0,5663.0,530000.0
51,single_family,2022.0,912 Belle Pond Ave,3.0,3.0,5663.0,485000.0
52,land,,Orabella Rd Lot 4,,0.0,217800.0,190000.0
53,single_family,2020.0,2645 Palace Green Rd,3.0,3.0,7405.0,350000.0
54,single_family,2003.0,12622 Woodcove Ln,4.0,5.0,41818.0,2100000.0
55,single_family,1961.0,7614 Yount Rd,2.0,2.0,21780.0,250000.0
56,condos,2004.0,918 Micro Way,2.0,2.0,,195000.0
57,single_family,2008.0,5936 Apple Valley Dr,4.0,4.0,10019.0,424900.0
58,condos,2009.0,6905 Dogwood Dr,2.0,2.0,,339000.0
59,single_family,1930.0,3031 Boyds Bridge Pike,2.0,1.0,8712.0,145000.0
60,condos,2008.0,445 W Blount Ave Apt 309,1.0,1.0,,300000.0
61,single_family,2022.0,5110 Ivy Branch Ln Lot 57,3.0,2.0,5663.0,349900.0
62,single_family,1998.0,5632 Eagle Crest Ln,3.0,3.0,16988.0,424900.0
63,single_family,1973.0,200 Huxley Rd,4.0,3.0,49658.0,410000.0
64,single_family,1958.0,5615 Holston Hills Rd,3.0,4.0,39640.0,169900.0
65,single_family,,2606 Red Barn Rd,4.0,,,
66,single_family,,2606 Red Barn Rd,4.0,,,
67,single_family,1974.0,11428 Old Colony Pkwy,5.0,3.0,47045.0,575000.0
68,single_family,1996.0,4212 Peacock Way,3.0,2.0,8276.0,249000.0
69,single_family,2006.0,10921 Ridgegate Ln,4.0,4.0,19166.0,560000.0
70,single_family,1995.0,1701 Scenic Valley Ln,4.0,3.0,15246.0,550000.0
71,single_family,1984.0,12009 Ridgeland Dr,3.0,2.0,20473.0,424900.0
72,single_family,1994.0,210 Sandringham Ct,4.0,4.0,17424.0,780000.0
73,single_family,2003.0,337 Gwinhurst Rd,6.0,5.0,17860.0,899900.0
74,single_family,2009.0,1148 Gilbert Station Ln,4.0,3.0,10890.0,499900.0
75,single_family,1963.0,1116 Bob Kirby Rd,4.0,2.0,15682.0,399900.0
76,single_family,1899.0,1208 Bales Rd,2.0,1.0,126324.0,389900.0
77,single_family,1979.0,5146 Buckhead Trl,5.0,4.0,87120.0,2790000.0
78,single_family,1930.0,2218 Woodrow Dr,2.0,1.0,19166.0,199900.0
79,single_family,1983.0,505 Golden Harvest Rd,4.0,2.0,23087.0,510000.0
80,single_family,1988.0,2025 Canby Hills Rd,3.0,3.0,21780.0,375999.0
81,single_family,2002.0,6704 Tim Bennett Ln,3.0,2.0,6970.0,244900.0
82,single_family,1977.0,4229 Abercorn Rd,3.0,3.0,11761.0,342900.0
83,single_family,2008.0,1017 Gothic Manor Way,3.0,3.0,4792.0,450000.0
84,single_family,1910.0,200 E Caldwell Ave,2.0,2.0,6534.0,187000.0
85,single_family,1920.0,4034 Ivy Ave,2.0,1.0,436.0,159900.0
86,single_family,1930.0,2418 Fair Dr,2.0,1.0,20038.0,139000.0
87,condos,2005.0,7721 Ellisville Ln,2.0,2.0,,289900.0
88,single_family,1960.0,7352 Winchester Dr,3.0,2.0,20038.0,399500.0
89,single_family,1930.0,1231 Texas Ave,4.0,3.0,6970.0,105000.0
90,single_family,1930.0,931 W Emerald Ave,3.0,2.0,5663.0,124900.0
91,single_family,2021.0,800 Spring Park Rd,2.0,2.0,5227.0,279900.0
92,single_family,1993.0,7239 Lawford Rd,4.0,4.0,16117.0,700000.0
93,single_family,2022.0,336 Hayley Marie Ln,3.0,3.0,5663.0,323130.0
94,single_family,2004.0,6940 Wyndham Pointe Ln,5.0,5.0,12197.0,549900.0
95,single_family,1958.0,2237 McClung Ave,3.0,1.0,7841.0,229900.0
96,single_family,2009.0,504 Raeburn Ln,5.0,4.0,13504.0,925000.0
97,single_family,1935.0,5117 NW Tenwood Dr,4.0,4.0,15246.0,399000.0
98,single_family,2019.0,961 Festival Ln,4.0,3.0,6098.0,534900.0
99,condos,1969.0,3636 Taliluna Ave Apt 413,2.0,3.0,436.0,325000.0
100,single_family,1980.0,2511 Ellistown Rd,3.0,3.0,166835.0,425000.0
101,single_family,1935.0,704 Fordtown Rd,3.0,2.0,36155.0,269900.0
102,single_family,2008.0,2220 Martha Berry Dr,4.0,3.0,19602.0,379900.0
103,single_family,1955.0,5519 Parkdale Rd,3.0,2.0,17424.0,344000.0
104,single_family,1950.0,102 Crawford Rd,3.0,2.0,436.0,289900.0
105,single_family,2009.0,2122 Beacon Light Way,2.0,2.0,4356.0,290000.0
106,single_family,2004.0,1807 NW Roy Dr,4.0,4.0,23958.0,389900.0
107,single_family,2004.0,10848 Parkgate Ln,3.0,3.0,436.0,422000.0
108,single_family,1987.0,1408 Overton Ln,3.0,2.0,10019.0,300000.0
109,single_family,2001.0,938 Trent Ln,4.0,3.0,30492.0,615000.0
110,single_family,1930.0,1600 Berry Rd,4.0,2.0,6534.0,180000.0
111,condos,2006.0,3825 Cherokee Woods Way Apt 103,3.0,3.0,,285000.0
112,single_family,1940.0,1514 Lawson Ave,1.0,1.0,7405.0,89900.0
113,single_family,2011.0,8528 Reagan Woods Ln,3.0,3.0,6534.0,339900.0
114,single_family,2006.0,7814 Scenic View Dr,3.0,3.0,15246.0,499900.0
115,single_family,2005.0,12809 Edgebrook Way,3.0,3.0,436.0,659000.0
116,single_family,1975.0,1809 Grenada Blvd,4.0,2.0,17860.0,299900.0
117,single_family,1945.0,2929 NW Ramona Ave,3.0,1.0,11326.0,170000.0
118,single_family,2007.0,6007 Gallant Ln,3.0,3.0,436.0,415000.0
119,single_family,2022.0,624 Little Turkey Ln Lot 9,4.0,3.0,10890.0,825000.0
120,single_family,2011.0,4727 Pecanwood Way,3.0,2.0,13068.0,318000.0
121,condos,1996.0,502 Riverfront Way,3.0,3.0,436.0,624900.0
122,single_family,1996.0,222 Whittington Dr,3.0,2.0,20473.0,369900.0
123,single_family,2009.0,4823 Horsestall Dr,4.0,3.0,13068.0,375000.0
124,single_family,1960.0,3819 Maloney Rd,3.0,4.0,470884.0,796000.0
125,single_family,1989.0,9905 Lani Ln,4.0,3.0,8712.0,375000.0
126,single_family,1967.0,2234 Cavalcade Rd,3.0,2.0,20473.0,299000.0
127,single_family,2022.0,3806 Admirality Ln,4.0,3.0,10890.0,899900.0
128,single_family,2008.0,7411 Cascade Meadows Way,3.0,2.0,7405.0,240000.0
129,single_family,1979.0,12017 Ridgeland Dr,4.0,3.0,21780.0,399000.0
130,land,,208 Twinleaf Ln,,0.0,16988.0,75000.0
131,single_family,1987.0,916 Westcourt Dr,3.0,3.0,3920.0,499900.0
132,single_family,1960.0,5604 Kentwood Rd,4.0,1.0,20038.0,300000.0
133,single_family,2004.0,744 Walker Springs Rd,6.0,5.0,57499.0,750000.0
134,single_family,1980.0,4809 Deanbrook Rd,4.0,4.0,16988.0,849900.0
135,single_family,1967.0,400 Karla Dr,3.0,3.0,35284.0,375000.0
136,single_family,1965.0,5833 Briercliff Rd,3.0,3.0,17860.0,350000.0
137,single_family,2013.0,1216 Dark Creek Ln,3.0,3.0,5663.0,426000.0
138,single_family,1958.0,3108 Washington Pike,3.0,2.0,16553.0,280000.0
139,single_family,2002.0,1008 Delaware Ave,4.0,2.0,6534.0,127900.0
140,single_family,2017.0,12217 Pittman Dr,4.0,7.0,213444.0,1395000.0
141,single_family,1950.0,3360 Bellevue St,3.0,1.0,6534.0,229000.0
142,single_family,,12034 Lillibridge Lane,5.0,,,
143,single_family,,12034 Lillibridge Lane,3.0,,,
144,single_family,,12034 Lillibridge Lane,5.0,,,
145,single_family,,12034 Lillibridge Lane,3.0,,,
146,single_family,,12034 Lillibridge Lane,4.0,,,
147,single_family,,12034 Lillibridge Lane,4.0,,,
148,single_family,,12034 Lillibridge Lane,4.0,,,
149,single_family,,2768 Maryville Pike,3.0,,,
150,single_family,,12034 Lillibridge Lane,5.0,,,
151,single_family,,12034 Lillibridge Lane,4.0,,,
152,single_family,,12034 Lillibridge Lane,4.0,,,
153,single_family,,2768 Maryville Pike,4.0,,,
154,single_family,,2606 Red Barn Rd,4.0,,,
155,single_family,,2606 Red Barn Rd,5.0,,,
156,single_family,,2606 Red Barn Rd,3.0,,,
157,single_family,,2606 Red Barn Rd,4.0,,,
158,single_family,,2606 Red Barn Rd,5.0,,,
159,single_family,,2606 Red Barn Rd,5.0,,,
160,single_family,,2606 Red Barn Rd,4.0,,,
161,single_family,,2606 Red Barn Rd,3.0,,,
162,single_family,,2606 Red Barn Rd,4.0,,,
163,single_family,,8690 Leeanna Brooke Ln,4.0,,,
164,single_family,,8690 Leeanna Brooke Ln,4.0,,,
165,single_family,,8690 Leeanna Brooke Ln,3.0,,,
166,single_family,,8690 Leeanna Brooke Ln,3.0,,,
167,single_family,,8690 Leeanna Brooke Ln,5.0,,,
168,single_family,,8690 Leeanna Brooke Ln,4.0,,,
169,single_family,,8690 Leeanna Brooke Ln,4.0,,,
170,single_family,,8690 Leeanna Brooke Ln,4.0,,,
171,single_family,,8690 Leeanna Brooke Ln,4.0,,,
172,single_family,1992.0,8200 Mecklenburg Ct,3.0,2.0,7841.0,289900.0
173,single_family,1959.0,4205 Myrtlewood Dr,4.0,3.0,16553.0,215000.0
174,single_family,2004.0,1149 Evelyn Mae Way,3.0,3.0,10019.0,514900.0
175,single_family,2003.0,119 Stone Bluff Ct,4.0,4.0,10019.0,434900.0
176,single_family,1945.0,2911 Boright Dr,2.0,1.0,9583.0,279900.0
177,single_family,1973.0,1016 NW Sanders Rd,4.0,3.0,23522.0,409900.0
178,single_family,2009.0,312 Belleaire Dr,3.0,2.0,39204.0,579900.0
179,single_family,1987.0,1416 Queensbridge Dr,4.0,4.0,11761.0,525000.0
180,condos,2007.0,8745 Wickford Way,3.0,2.0,,384900.0
181,single_family,2008.0,3216 Red Meadow Rd,4.0,3.0,8712.0,380000.0
182,single_family,2017.0,1410 Madison Oaks Rd,3.0,3.0,10019.0,389900.0
183,single_family,2015.0,12248 Patagonia Ln,3.0,3.0,7841.0,735000.0
184,single_family,1996.0,6972 Yellow Oak Ln,3.0,3.0,8712.0,439900.0
185,single_family,1994.0,9416 Frogpond Ln,6.0,6.0,45738.0,725000.0
186,land,,Brownlow Newman Ln,,0.0,3049200.0,799000.0
187,condos,1975.0,429 Canberra Dr Unit 126,1.0,1.0,,139500.0
188,single_family,1940.0,651 Arrowhead Trl,4.0,3.0,19602.0,895000.0
189,single_family,1975.0,6130 Grove Dr,3.0,2.0,26136.0,274900.0
190,single_family,1994.0,1811 Ridge Creek Ln,3.0,2.0,16988.0,378018.0
191,single_family,1972.0,6512 Shrewsbury Dr,4.0,3.0,10454.0,330000.0
192,condos,1984.0,810 Highland Dr Unit 601,2.0,2.0,,200000.0
193,condos,1994.0,8653 Little Field Way,2.0,2.0,436.0,249900.0
194,single_family,,2768 Maryville Pike,4.0,,,
195,single_family,2020.0,2419 E Glenwood Ave,3.0,2.0,7405.0,275000.0
196,single_family,2006.0,1025 Gothic Manor Way,3.0,3.0,4356.0,525000.0
197,single_family,1978.0,1919 Winding Ridge Trl,5.0,3.0,18731.0,376500.0
198,single_family,2013.0,7727 Cooper Meadows Ln,3.0,2.0,8712.0,299900.0
199,single_family,1950.0,3208 Meadowrun Ln,4.0,2.0,33106.0,499000.0
200,single_family,1953.0,3812 Nathaniel Rd,2.0,1.0,13939.0,199900.0
201,single_family,1994.0,1860 Cedardale Ln,3.0,3.0,13068.0,485000.0
202,single_family,,2606 Red Barn Rd,4.0,,,
203,single_family,,2606 Red Barn Rd,3.0,,,
204,single_family,2014.0,2157 Mystic Ridge Rd,4.0,3.0,19602.0,847000.0
205,single_family,1950.0,4305 Fulton Dr,3.0,2.0,17424.0,419000.0
206,single_family,1899.0,2918 Johnston St,2.0,1.0,7405.0,219000.0
207,single_family,1977.0,3636 Woodland Dr,5.0,5.0,33106.0,899900.0
208,single_family,1949.0,213 N Laurel Cir,3.0,1.0,20909.0,259900.0
209,single_family,1982.0,1228 Crest Brook Dr,3.0,2.0,436.0,249900.0
210,single_family,2014.0,726 Drakewood Rd,3.0,3.0,8712.0,310000.0
211,single_family,,12007 Sweet Almond Ln,5.0,3.0,,378470.0
212,condos,1969.0,5709 Lyons View Pike Apt 2209,2.0,1.0,,189900.0
213,condos,1991.0,6909 Kings Crossing Way,2.0,2.0,436.0,215000.0
214,single_family,1950.0,5121 Webber Rd,2.0,1.0,42253.0,
215,single_family,1962.0,312 Snowbird Dr,3.0,2.0,17860.0,359999.0
216,single_family,1945.0,4125 Holland Dr,2.0,1.0,4356.0,195000.0
217,single_family,2011.0,1201 England Dr,3.0,2.0,436.0,215000.0
218,single_family,1920.0,1403 N 4th Ave,3.0,2.0,6970.0,359000.0
219,single_family,2003.0,7912 Valley Park Ln,2.0,2.0,3485.0,269900.0
220,single_family,2009.0,7901 Corbin Ln,5.0,3.0,10019.0,590000.0
221,single_family,1979.0,632 View Park Dr,3.0,2.0,17860.0,399900.0
222,single_family,1940.0,5824 2nd Ln,3.0,1.0,7405.0,140000.0
223,single_family,2015.0,1957 Piperton Ln,4.0,4.0,13068.0,620000.0
224,single_family,1961.0,1764 Richard Ln,2.0,1.0,193842.0,224900.0
225,single_family,2018.0,11839 Black Rd,3.0,2.0,436.0,530000.0
226,condos,1998.0,8404 Ivy Green Way,2.0,2.0,436.0,315000.0
227,single_family,1940.0,3324 Fountain Park Blvd,3.0,1.0,31799.0,250000.0
228,land,,309 S Wooddale Rd,,0.0,45302.0,65000.0
229,single_family,2020.0,524 Vivian Lee Ln,3.0,4.0,436.0,674900.0
230,single_family,1984.0,720 W Governor John Sevier Hwy,3.0,2.0,162914.0,600000.0
231,single_family,1968.0,309 Governors Ln,4.0,3.0,33106.0,545000.0
232,land,,2821 Mary Emily Ln,,0.0,21780.0,39900.0
233,single_family,1960.0,4520 Ball Camp Pike,4.0,3.0,127195.0,475000.0
234,condos,1969.0,6531 Deane Hill Dr Apt 58,2.0,2.0,436.0,225000.0
235,single_family,1930.0,4630 Harsch St,3.0,2.0,7841.0,249900.0
236,single_family,2016.0,7315 Lucky Clover Ln,3.0,3.0,8276.0,399900.0
237,single_family,2022.0,7817 Beeler Farms Ln,4.0,3.0,6970.0,379900.0
238,single_family,1915.0,1321 N 4th Ave,3.0,1.0,6534.0,224900.0
239,single_family,1960.0,7013 Rollins Rd,3.0,2.0,26136.0,399900.0
240,single_family,2004.0,724 Manor Station Ln,4.0,4.0,17860.0,799900.0
241,single_family,1940.0,7510 Rising Rd,2.0,1.0,13068.0,95000.0
242,single_family,1955.0,6103 Circle Wood Ln,3.0,2.0,20473.0,230000.0
243,townhomes,2007.0,6359 Sky Song Ln,3.0,2.0,3719.0,332500.0
244,single_family,2015.0,4416 Platinum Dr,5.0,4.0,6970.0,625000.0
245,single_family,2022.0,8426 Creek Valley Ln,4.0,4.0,8712.0,534900.0
246,single_family,2008.0,1505 Madison Oaks Rd,4.0,3.0,10454.0,449900.0
247,single_family,1951.0,2141 Seminole Ave,3.0,2.0,5227.0,234900.0
248,condos,2003.0,6954 LA Christa Way,2.0,3.0,436.0,225000.0
249,single_family,1993.0,1216 Hollow Ridge Ln,3.0,3.0,17860.0,575000.0
250,single_family,,12004 Sweet Almond Ln,4.0,3.0,,394185.0
251,mobile,2003.0,7830 Rollen Rd,3.0,2.0,20038.0,189900.0
252,single_family,1925.0,2806 Whittle Springs Rd,2.0,1.0,4792.0,109900.0
253,single_family,1950.0,3810 Buffat Mill Rd,4.0,2.0,18295.0,315000.0
254,single_family,1955.0,619 Tillman Rd,4.0,3.0,20909.0,399900.0
255,townhomes,2006.0,7109 LA Christa Way,3.0,3.0,436.0,275000.0
256,single_family,1949.0,1023 NE Melbourne Ave,2.0,1.0,6098.0,149900.0
257,single_family,2022.0,1129 Snowy Peak Ln,5.0,4.0,7405.0,669900.0
258,single_family,2022.0,7809 Beeler Farms Ln,4.0,3.0,8276.0,417900.0
259,single_family,2022.0,1652 Hickory Reserve Rd,5.0,3.0,9148.0,599900.0
260,single_family,1990.0,7309 Foxhaven Rd,3.0,3.0,26136.0,319900.0
261,single_family,2022.0,1676 Hickory Reserve Rd,5.0,4.0,10019.0,679900.0
262,single_family,1968.0,7004 Regency Rd,3.0,2.0,56628.0,360000.0
263,single_family,2001.0,12537 Coral Reef Cir,4.0,4.0,11761.0,520000.0
264,single_family,1977.0,7337 Oxmoor Rd,3.0,2.0,15246.0,329900.0
265,single_family,1997.0,1412 Windgrove Ln,3.0,2.0,10890.0,324900.0
266,single_family,2022.0,7805 Beeler Farms Ln,4.0,3.0,12197.0,369900.0
267,single_family,1992.0,9232 Countryway Dr,4.0,4.0,10890.0,475000.0
268,single_family,1945.0,1315 Border St,2.0,1.0,14810.0,109900.0
269,land,,244 Mount David Dr,,0.0,27878.0,42000.0
270,single_family,1976.0,2309 Fitzgerald Rd,4.0,2.0,43560.0,475000.0
271,single_family,2022.0,12552 Daisy Field Ln,4.0,4.0,16988.0,936000.0
272,land,,SW Kingston Ct Lot 10,,0.0,20038.0,459900.0
273,single_family,1920.0,2105 Mississippi Ave,2.0,1.0,20909.0,169999.0
274,farm,,1508 Smallman Rd,,0.0,298822.0,249900.0
275,single_family,1899.0,516 Liberty St,3.0,1.0,12197.0,150000.0
276,single_family,2022.0,1119 Snowy Peak Ln,5.0,3.0,7405.0,619900.0
277,single_family,2022.0,1111 Snowy Peak Ln,4.0,4.0,8276.0,644900.0
278,single_family,1979.0,7847 Ember Crest Trl,3.0,2.0,30492.0,384900.0
279,condos,2000.0,8180 Pepperdine Way,2.0,2.0,3920.0,299900.0
280,single_family,2017.0,8914 Highbury Way,5.0,3.0,5227.0,575000.0
281,single_family,1950.0,908 S Chilhowee Dr,2.0,1.0,25265.0,200000.0
282,single_family,1996.0,2719 Moss Creek Rd,2.0,2.0,4792.0,325000.0
283,single_family,1950.0,6220 Neubert Springs Rd,2.0,1.0,131551.0,234900.0
284,single_family,2022.0,1115 Snowy Peak Ln,5.0,4.0,7841.0,674900.0
285,single_family,2022.0,1664 Hickory Reserve Rd,4.0,4.0,10019.0,619900.0
286,single_family,2022.0,12631 Izzy Mule Ln,3.0,2.0,7405.0,419900.0
287,single_family,2022.0,1123 Snowy Peak Ln,5.0,4.0,6970.0,647900.0
288,single_family,2022.0,7813 Beeler Farms Ln,4.0,3.0,8276.0,399900.0
289,single_family,2022.0,1658 Hickory Reserve Rd,4.0,3.0,9583.0,597900.0
290,single_family,1891.0,1912 Washington Ave,3.0,2.0,13939.0,549000.0
291,single_family,2010.0,5600 Summer Grove Ln,3.0,3.0,52272.0,389900.0
292,single_family,2022.0,1670 Hickory Reserve Rd,4.0,4.0,10019.0,699900.0
293,single_family,1950.0,5612 Jacksboro Pike,2.0,1.0,30492.0,235000.0
294,single_family,1920.0,201 E Morelia Ave,2.0,2.0,6970.0,180000.0
295,single_family,2022.0,6872 Beeler Rd,3.0,3.0,43560.0,424900.0
296,single_family,1989.0,1028 E Nokomis Cir,4.0,4.0,9583.0,799000.0
297,single_family,1930.0,209 Fern St,4.0,2.0,7405.0,214900.0
298,single_family,1950.0,500 Ben Hur Ave,4.0,2.0,6534.0,
299,single_family,1955.0,1701 Rugby Ave,2.0,2.0,14375.0,249900.0
300,single_family,2000.0,7437 Mountie Ln,3.0,2.0,13504.0,240000.0
301,land,,Veritas Way,,0.0,235224.0,1350000.0
302,single_family,2020.0,2419 Waterstone Blvd,4.0,3.0,6970.0,599900.0
303,single_family,1959.0,906 Forest Heights Rd,4.0,2.0,12197.0,525000.0
304,single_family,1950.0,301 Iroquois Dr,4.0,2.0,14810.0,190000.0
305,single_family,1945.0,6001 Sunwood Dr,3.0,2.0,16553.0,239900.0
306,land,,11505 Yarnell Rd,,0.0,54886.0,149900.0
307,condos,1950.0,3005 Conner Dr,3.0,2.0,436.0,219900.0
308,single_family,1940.0,4208 Garden Dr,3.0,2.0,22651.0,419900.0
309,single_family,2001.0,4822 Ivy Rose Dr,4.0,3.0,10890.0,599900.0
310,single_family,2018.0,2309 Mission Hill Ln,5.0,3.0,7405.0,665000.0
311,single_family,2022.0,3539 Oswald St,3.0,3.0,142441.0,365000.0
312,mobile,2000.0,4217 Skyline Dr,2.0,2.0,9583.0,79900.0
313,single_family,1982.0,4020 Abercorn Rd,3.0,3.0,8712.0,225000.0
314,single_family,1932.0,2916 Sanders Dr,3.0,2.0,6534.0,260000.0
315,single_family,1999.0,5617 Reinhardt Ln,4.0,3.0,12197.0,430000.0
316,single_family,1910.0,1618 Jefferson Ave,2.0,2.0,6970.0,350000.0
317,single_family,2023.0,Truitt Path Ln,4.0,3.0,8712.0,433222.0
318,single_family,1939.0,4303 Pleasant Ridge Rd,3.0,2.0,91476.0,499900.0
319,single_family,2004.0,5116 Beaver Dam Ln,4.0,4.0,14810.0,430000.0
320,single_family,1979.0,6021 Wichita Dr,3.0,3.0,7841.0,262000.0
321,single_family,1958.0,5221 Clairidge Rd,4.0,3.0,14810.0,399900.0
322,single_family,1930.0,3138 Linden Ave,3.0,1.0,7405.0,189900.0
323,single_family,1991.0,5334 Kesterbrooke Blvd,4.0,4.0,436.0,650000.0
324,condos,2010.0,445 W Blount Ave Apt 213,2.0,2.0,8712.0,539000.0
325,single_family,1991.0,12332 Oakley Downs Rd,4.0,4.0,21780.0,525000.0
326,single_family,2002.0,3339 Franklin Creek Ln,4.0,3.0,7841.0,398900.0
327,single_family,1900.0,7020 Central Avenue Pike,4.0,3.0,82764.0,199999.0
328,single_family,1988.0,10905 Twin Harbour Dr,3.0,2.0,23958.0,425000.0
329,single_family,2021.0,1168 Belle Pond Ave,3.0,3.0,7841.0,540000.0
330,single_family,1994.0,1912 Cecil Ave,3.0,1.0,6098.0,99900.0
331,condos,2002.0,179 Dalton Place Way,2.0,2.0,4356.0,250000.0
332,single_family,2017.0,2228 Clover Vine Rd,3.0,3.0,7841.0,399900.0
333,single_family,1968.0,501 Overland Trl,3.0,2.0,21344.0,300000.0
334,single_family,2016.0,1176 Westland Gardens Blvd,4.0,3.0,7841.0,549000.0
335,single_family,1964.0,11032 Hughlan Dr,4.0,2.0,21344.0,399900.0
336,single_family,1960.0,201 Land Oak Rd,3.0,3.0,55757.0,375000.0
337,single_family,2005.0,3301 Cliffbranch Ln,4.0,4.0,11326.0,510000.0
338,single_family,1994.0,2005 Wildberry Ct,3.0,3.0,8712.0,324900.0
